movie_id;movie_name;year;votes_kp;votes_imdb;votes_filmCritics;votes_await;rating_kp;rating_imdb;rating_filmCritics;movieLength;ageRating;ratingMpaa;type;genres;countries;fees_usa;videos_trailers_number;budget;actor_metric;writer_metric;director_metric;Special_effects;Production
258687;Интерстеллар;2014;879269.0;1925493.0;375.0;78051.0;8.622;8.7;7.1;169.0;16.0;pg13;movie;['фантастика', 'драма', 'приключения'];['США', 'Великобритания', 'Канада'];188020017;6.0;165000000.0;65837065.44562117;47787673.27930452;32776733.01660954;['Double Negative'];['Paramount Pictures', 'Warner Bros. Pictures']
463634;Веном;2018;826787.0;519358.0;364.0;59979.0;6.921;6.6;4.5;112.0;18.0;pg13;movie;['фантастика', 'боевик', 'триллер', 'ужасы'];['США', 'Китай'];213515506;4.0;100000000.0;68355791.36466585;6747962.474929095;2761890.800171124;['Double Negative', 'Proof', 'Sony Pictures Imageworks'];['Columbia Pictures Corporation']
397667;Остров проклятых;2009;819569.0;1368017.0;263.0;22948.0;8.515;8.2;6.7;138.0;18.0;r;movie;['триллер', 'детектив', 'драма'];['США'];128012934;2.0;80000000.0;23433847.2707888;727282.7320306009;5865065.277602527;['Gentle Giant Studios Inc.'];['Paramount Pictures']
843649;Мстители: Война бесконечности;2018;810296.0;1157562.0;491.0;77949.0;8.069;8.4;7.6;149.0;16.0;pg13;movie;['фантастика', 'боевик', 'приключения'];['США'];678815482;3.0;321000000.0;196441112.0929657;52008299.77710154;8971034.820432372;['Cinesite', 'Digital Domain', 'Double Negative', 'Industrial Light & Magic (ILM)', 'Lola Visual Effects', 'Method Studios', 'Third Floor, The'];[]
843650;Мстители: Финал;2019;764146.0;1216754.0;555.0;96308.0;7.85;8.4;8.2;181.0;16.0;pg13;movie;['фантастика', 'боевик', 'драма', 'приключения'];['США'];858373000;5.0;356000000.0;241817534.6186732;78051412.00458948;17769240.27532332;['Cinesite', 'Digital Domain', 'Double Negative', 'Industrial Light & Magic (ILM)', 'Lola Visual Effects'];[]
689066;Стражи Галактики;2014;705267.0;1225685.0;338.0;46215.0;7.846;8.0;7.8;121.0;12.0;pg13;movie;['фантастика', 'боевик', 'приключения', 'комедия'];['США'];333176600;5.0;170000000.0;40417315.80283797;809815.1914350389;440331.4579854565;['Industrial Light & Magic (ILM)', 'Lola Visual Effects', 'Method Studios', 'Moving Picture Company, The', 'Plowman Craven & Associates', 'Proof', 'Sony Pictures Imageworks', 'Third Floor, The'];[]
462606;Области тьмы;2011;697296.0;591071.0;202.0;19262.0;7.991;7.4;6.4;105.0;18.0;pg13;movie;['триллер', 'драма', 'фантастика'];['США'];79249455;1.0;26000000.0;12609884.057950294;989162.332880856;734380.0679273967;['Digiscope'];['Relativity Media']
111543;Темный рыцарь;2008;695367.0;2786027.0;345.0;1.0;8.523;9.0;8.6;152.0;16.0;pg13;movie;['фантастика', 'боевик', 'триллер', 'криминал', 'драма'];['США', 'Великобритания'];533345358;2.0;185000000.0;34116117.61861776;15349256.96580824;8330793.000418478;['Double Negative', 'Gentle Giant Studios Inc.', 'Plowman Craven & Associates'];[]
409600;Доктор Стрэндж;2016;695233.0;769223.0;388.0;69980.0;7.517;7.5;7.3;115.0;16.0;pg13;movie;['фантастика', 'фэнтези', 'боевик', 'приключения'];['США'];232641920;4.0;165000000.0;52755697.48692783;18337010.88122277;1756114.0536391602;['Industrial Light & Magic (ILM)', 'Lola Visual Effects', 'Method Studios', 'Plowman Craven & Associates'];[]
839954;Легенда;2015;692846.0;191711.0;171.0;16065.0;7.192;6.9;5.9;131.0;18.0;r;movie;['криминал', 'триллер', 'драма'];['Великобритания', 'Франция', 'США'];1872994;5.0;30000000.0;29960998.396210864;4574236.8991011325;795479.922006616;['Digiscope'];[]
89514;Рататуй;2007;690281.0;771461.0;253.0;;8.045;8.1;8.5;111.0;0.0;g;cartoon;['мультфильм', 'приключения', 'комедия', 'семейный', 'фэнтези', 'драма'];['США'];206445654;4.0;150000000.0;3565326.5794383143;1547633.0570061656;1653344.131426846;['Gentle Giant Studios Inc.'];[]
324;Поймай меня, если сможешь;2002;684696.0;1027012.0;203.0;;8.527;8.1;7.9;141.0;16.0;pg13;movie;['криминал', 'биография', 'комедия'];['США', 'Канада'];164615351;1.0;52000000.0;10533796.316290475;290231.8978645216;4787521.588351939;['Asylum VFX'];[]
263531;Мстители;2012;676214.0;1420065.0;367.0;54435.0;7.893;8.0;8.1;137.0;12.0;pg13;movie;['фантастика', 'боевик', 'фэнтези', 'приключения'];['США'];623357910;3.0;220000000.0;58251663.68895356;5218487.628367525;578537.1915519797;['Digital Domain', 'Industrial Light & Magic (ILM)', 'Lidar Services Inc.', 'Lola Visual Effects', 'Third Floor, The'];['Paramount Pictures']
430;Шрэк;2001;675863.0;702621.0;211.0;;8.13;7.9;7.8;90.0;12.0;pg;cartoon;['мультфильм', 'фэнтези', 'мелодрама', 'комедия', 'приключения', 'семейный'];['США', 'Канада', 'Швеция'];267665011;3.0;60000000.0;3244757.450549757;707251.1250486369;;[];[]
586397;Джанго освобожденный;2012;664157.0;1606918.0;298.0;37999.0;8.233;8.4;8.0;165.0;18.0;r;movie;['вестерн', 'боевик', 'драма', 'комедия'];['США'];162805434;1.0;100000000.0;46387301.64770245;11327696.14781576;11559981.848767469;['K.N.B. EFX Group Inc.', 'Rhythm & Hues'];[]
835086;Ford против Ferrari;2019;650561.0;438056.0;361.0;13500.0;8.237;8.1;7.8;152.0;16.0;pg13;movie;['биография', 'спорт', 'драма', 'боевик'];['США'];117624357;5.0;97600000.0;82713948.04677969;7614300.075110355;9518704.760948537;['Method Studios'];['20th Century Fox Film Corporation', 'AMT']
679486;Тайна Коко;2017;643144.0;539244.0;357.0;2830.0;8.722;8.4;8.3;105.0;12.0;pg;cartoon;['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный', 'музыка'];['США', 'Япония'];209726015;5.0;175000000.0;6589308.799290339;1238428.039591559;4414021.07076228;[];[]
462360;Дэдпул;2016;640271.0;1072644.0;349.0;84882.0;7.56;8.0;7.1;108.0;18.0;r;movie;['боевик', 'комедия'];['США'];363070709;4.0;58000000.0;15036110.05754113;3418710.044672749;;['Digital Domain', 'Rodeo FX'];['20th Century Fox Film Corporation', 'AMT']
420923;Шерлок Холмс;2009;632873.0;649822.0;249.0;29387.0;8.063;7.6;6.2;128.0;12.0;pg13;movie;['боевик', 'приключения', 'триллер', 'драма', 'комедия', 'криминал', 'детектив'];['США', 'Германия', 'Великобритания', 'Австралия'];209028679;1.0;90000000.0;15505941.584805071;2173050.174574655;2463656.543095751;['Double Negative', 'Plowman Craven & Associates'];['Silver Pictures', 'Village Roadshow Pictures']
474;Гладиатор;2000;628723.0;1541699.0;254.0;1.0;8.583;8.5;7.4;155.0;16.0;r;movie;['история', 'боевик', 'драма', 'приключения'];['США', 'Великобритания', 'Мальта', 'Марокко'];187705427;2.0;103000000.0;1566856.2378550002;136608.97468549391;496957.030413296;['Digiscope'];['Universal Pictures']
279102;ВАЛЛ·И;2008;627153.0;1148109.0;262.0;;8.361;8.4;8.6;98.0;0.0;g;cartoon;['мультфильм', 'фантастика', 'приключения', 'семейный'];['США'];223808164;6.0;180000000.0;3312978.6637943024;2556180.7917758147;1019652.613739969;['Industrial Light & Magic (ILM)'];[]
328;Властелин колец: Братство Кольца;2001;622091.0;1922315.0;234.0;;8.605;8.8;8.2;178.0;12.0;pg13;movie;['фэнтези', 'приключения', 'драма', 'боевик'];['Новая Зеландия', 'США'];316115420;3.0;93000000.0;2578651.708535778;256069.55979764045;168046.7700787663;['Digital Domain', 'Gentle Giant Studios Inc.', 'Rhythm & Hues'];['New Line Cinema']
841700;Марсианин;2015;615427.0;882375.0;386.0;59667.0;7.76;8.0;7.9;144.0;16.0;pg13;movie;['фантастика', 'приключения'];['США', 'Великобритания', 'Венгрия', 'Иордания'];228433663;2.0;108000000.0;68563272.09296173;4193635.049775688;9627106.975641152;['Industrial Light & Magic (ILM)', 'Moving Picture Company, The', 'Third Floor, The'];['20th Century Fox Film Corporation', 'AMT']
322;Гарри Поттер и узник Азкабана;2004;613476.0;658243.0;259.0;;8.221;7.9;7.9;142.0;12.0;pg;movie;['фэнтези', 'приключения', 'семейный'];['Великобритания', 'США'];249541069;4.0;130000000.0;11987036.964008056;2939529.4879274936;230921.20241907644;['Cinesite', 'Double Negative', 'Gentle Giant Studios Inc.', 'Industrial Light & Magic (ILM)', 'Plowman Craven & Associates'];['Warner Bros. Pictures']
61237;Железный человек;2008;612118.0;1086232.0;282.0;;7.961;7.9;7.7;121.0;12.0;pg13;movie;['фантастика', 'боевик', 'приключения'];['США', 'Канада'];318604126;3.0;140000000.0;9143713.3776287;297312.8228162127;579857.4598475327;['Industrial Light & Magic (ILM)', 'Lola Visual Effects'];['Paramount Pictures']
63991;Пираты Карибского моря: Сундук мертвеца;2006;608394.0;739141.0;229.0;;8.137;7.3;6.0;151.0;12.0;pg13;movie;['фэнтези', 'боевик', 'приключения'];['США'];423315812;1.0;225000000.0;20527922.7659614;7463875.253476489;2637049.4786387067;['Asylum VFX', 'Industrial Light & Magic (ILM)', 'Method Studios', 'Pacific Title & Art Studio', 'Plowman Craven & Associates', 'Proof'];[]
522892;Иллюзия обмана;2013;604437.0;680750.0;173.0;37930.0;7.716;7.2;5.8;115.0;16.0;pg13;movie;['криминал', 'триллер', 'детектив'];['США', 'Франция'];117723989;3.0;75000000.0;69715855.18039759;1658437.9651857202;2493576.7956677163;['Industrial Light & Magic (ILM)', 'Lidar Services Inc.', 'Rodeo FX'];[]
688;Гарри Поттер и Тайная комната;2002;590422.0;659230.0;237.0;;8.123;7.4;7.2;161.0;12.0;pg;movie;['фэнтези', 'приключения', 'семейный'];['Великобритания', 'США'];261988482;2.0;100000000.0;8201644.312185886;1602751.3867972388;1801407.463621962;['Cinesite', 'Gentle Giant Studios Inc.', 'Industrial Light & Magic (ILM)', 'Lidar Services Inc.', 'Plowman Craven & Associates'];['Warner Bros. Pictures']
280172;Как приручить дракона;2010;586787.0;764709.0;214.0;7398.0;8.23;8.1;7.9;98.0;6.0;pg;cartoon;['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный'];['США', 'Франция'];217581231;4.0;165000000.0;13220167.870232709;1005997.5723774956;288902.80472854176;['Industrial Light & Magic (ILM)'];[]
195334;Престиж;2006;583191.0;1369738.0;204.0;6.0;8.518;8.5;7.1;125.0;16.0;pg13;movie;['триллер', 'фантастика', 'драма', 'детектив'];['Великобритания', 'США'];53089891;3.0;40000000.0;15244953.082059585;5554787.572106054;5157767.198840487;[];['Warner Bros. Pictures']
538225;Первому игроку приготовиться;2018;579820.0;465438.0;448.0;27203.0;7.453;7.4;6.8;140.0;12.0;pg13;movie;['фантастика', 'боевик', 'приключения'];['США', 'Индия'];137690172;4.0;175000000.0;34213638.46705221;5193040.4035591725;15246655.798943292;['Digital Domain', 'Industrial Light & Magic (ILM)', 'Third Floor, The'];['Village Roadshow Pictures']
1048334;Джокер;2019;578219.0;1406580.0;598.0;41174.0;7.98;8.4;7.3;122.0;18.0;r;movie;['драма', 'криминал', 'триллер'];['США', 'Канада'];335451311;6.0;55000000.0;34045661.11579352;16994598.20607398;7722086.501547323;[];['Village Roadshow Pictures']
9691;Бесславные ублюдки;2009;575745.0;1498562.0;333.0;13069.0;7.985;8.3;7.8;153.0;16.0;r;movie;['боевик', 'драма', 'комедия', 'военный'];['Германия', 'США'];120540719;2.0;70000000.0;17989596.178274866;6695717.16921596;6928002.870167669;[];['Universal Pictures']
692861;Исчезнувшая;2014;575538.0;1012391.0;370.0;32366.0;7.959;8.1;8.0;149.0;16.0;r;movie;['триллер', 'драма', 'детектив'];['США'];167767189;3.0;61000000.0;15821795.167309623;;11803613.008854616;['Lola Visual Effects'];['20th Century Fox Film Corporation', 'AMT']
1047883;Однажды в… Голливуде;2019;574185.0;802200.0;580.0;57667.0;7.663;7.6;7.9;161.0;18.0;r;movie;['драма', 'комедия'];['США', 'Великобритания', 'Китай'];142502728;6.0;90000000.0;101727963.04658198;21305131.12746319;21537416.828414906;['Lola Visual Effects'];[]
88173;Алита: Боевой ангел;2019;573023.0;284878.0;331.0;34953.0;7.236;7.3;6.1;121.0;16.0;pg13;movie;['фантастика', 'боевик', 'приключения'];['Япония', 'Канада', 'США'];85838210;5.0;170000000.0;45439098.02449456;12295047.113832727;2967556.74127908;['Double Negative', 'Lola Visual Effects', 'Third Floor, The'];['20th Century Fox Film Corporation', 'AMT']
104992;Дьявол носит Prada;2006;571161.0;437012.0;195.0;;7.688;6.9;6.6;109.0;16.0;pg13;movie;['драма', 'комедия'];['США', 'Франция'];124740460;1.0;35000000.0;3431268.452217596;29910.398071115247;;['Custom Film Effects'];['20th Century Fox Film Corporation', 'NBC Universal Television']
406408;Законопослушный гражданин;2009;570644.0;307642.0;162.0;3866.0;7.999;7.4;4.4;108.0;18.0;r;movie;['боевик', 'триллер', 'драма', 'криминал'];['США'];73357727;1.0;50000000.0;9948949.557435654;1018369.8976006934;902093.8576633822;[];['Millennium Films']
645118;Головоломка;2015;568581.0;740639.0;382.0;19066.0;8.074;8.1;8.9;95.0;6.0;pg;cartoon;['мультфильм', 'семейный', 'комедия'];['США', 'Япония'];356461711;0.0;175000000.0;9999229.35600738;5022641.134382661;2086761.5971801567;[];[]
407636;Гарри Поттер и Дары Смерти: Часть II;2011;559839.0;904283.0;333.0;84001.0;8.15;8.1;8.3;130.0;12.0;pg13;movie;['фэнтези', 'детектив', 'приключения', 'семейный'];['Великобритания', 'США'];381011219;5.0;125000000.0;52822395.50035686;12264947.439318486;4732354.894405477;['Cinesite', 'Double Negative', 'Lola Visual Effects', 'Moving Picture Company, The'];['Warner Bros. Pictures']
3498;Властелин колец: Возвращение короля;2003;558511.0;1893850.0;275.0;;8.657;9.0;8.7;201.0;12.0;pg13;movie;['фэнтези', 'приключения', 'драма', 'боевик'];['Новая Зеландия', 'США'];378251207;4.0;94000000.0;25467096.848791536;12742046.171636015;5711970.70491226;['Gentle Giant Studios Inc.', 'Rhythm & Hues'];['New Line Cinema']
102124;Пираты Карибского моря: На краю света;2007;556584.0;669076.0;227.0;;8.06;7.1;5.4;169.0;12.0;pg13;movie;['приключения', 'боевик', 'фэнтези'];['США'];309420425;3.0;300000000.0;29075645.41538925;11080667.482928654;4107557.259493864;['Asylum VFX', 'Digital Domain', 'Industrial Light & Magic (ILM)', 'Method Studios', 'Pacific Title & Art Studio', 'Proof', 'Third Floor, The'];[]
312;Властелин колец: Две крепости;2002;547698.0;1709157.0;256.0;;8.601;8.8;8.5;179.0;12.0;pg13;movie;['фэнтези', 'приключения', 'драма', 'боевик'];['Новая Зеландия', 'США'];342952511;3.0;94000000.0;15342866.169152727;6545693.166618967;2964304.2544215424;['Gentle Giant Studios Inc.', 'Sony Pictures Imageworks'];['New Line Cinema']
278522;Хоббит: Нежданное путешествие;2012;544200.0;845872.0;307.0;82822.0;8.104;7.8;6.6;169.0;6.0;pg13;movie;['фэнтези', 'приключения', 'боевик'];['Новая Зеландия', 'США'];303003568;3.0;180000000.0;11872445.38015054;25383079.99189544;10348069.528190078;[];['Metro-Goldwyn-Mayer (MGM)', 'New Line Cinema']
1043758;Паразиты;2019;540826.0;891456.0;478.0;2171.0;8.014;8.5;9.4;131.0;18.0;r;movie;['драма', 'триллер', 'комедия'];['Корея Южная'];53369749;5.0;11800000.0;3350796.843789306;3002290.0560642714;2997854.3269599387;[];[]
526;Большой куш;2000;540448.0;876700.0;143.0;;8.55;8.2;6.4;104.0;16.0;r;movie;['криминал', 'комедия', 'боевик'];['Великобритания', 'США'];30328156;2.0;10000000.0;5956458.12184297;591947.3084390044;591947.3084390044;[];['Columbia Pictures Corporation']
88198;Живая сталь;2011;535903.0;342047.0;236.0;23952.0;7.664;7.1;5.9;127.0;16.0;pg13;movie;['фантастика', 'боевик', 'семейный'];['США', 'Индия'];85468508;3.0;110000000.0;14838852.442194369;720702.5545720807;1903498.863532253;['Digital Domain'];[]
920265;Человек-паук: Через вселенные;2018;519155.0;631796.0;398.0;10001.0;8.172;8.4;8.8;117.0;6.0;pg;cartoon;['мультфильм', 'фантастика', 'фэнтези', 'боевик', 'комедия', 'приключения', 'семейный'];['Канада', 'США'];190241310;6.0;90000000.0;15681015.031197902;2611760.3742225645;666019.9689109684;['Sony Pictures Imageworks'];['Columbia Pictures Corporation']
493208;Холодное сердце;2013;518981.0;641524.0;251.0;6445.0;7.869;7.4;7.7;102.0;0.0;pg;cartoon;['мультфильм', 'мюзикл', 'фэнтези', 'комедия', 'мелодрама', 'приключения', 'семейный'];['США'];400738009;2.0;150000000.0;10076587.240183244;1845273.388391153;202743.25679516167;[];[]
470178;Аквамен;2018;515173.0;502424.0;414.0;44403.0;6.844;6.8;6.0;143.0;12.0;pg13;movie;['фэнтези', 'боевик', 'приключения'];['США', 'Австралия'];335061807;5.0;160000000.0;43298950.27460007;3505708.370465672;8208051.191468808;['Digital Domain', 'Industrial Light & Magic (ILM)', 'Method Studios', 'Moving Picture Company, The', 'Proof', 'Rodeo FX'];['Warner Bros. Pictures']
1008445;Человек-паук: Вдали от дома;2019;514331.0;532630.0;457.0;30682.0;7.427;7.4;7.4;129.0;18.0;pg13;movie;['фантастика', 'боевик', 'комедия', 'приключения'];['США'];390532085;5.0;160000000.0;89823313.6645061;36197186.80969837;4371368.248113254;['Industrial Light & Magic (ILM)', 'Method Studios', 'Sony Pictures Imageworks', 'Third Floor, The'];['Columbia Pictures Corporation']
505851;Грань будущего;2014;513824.0;701866.0;337.0;33381.0;7.941;7.9;7.5;113.0;12.0;pg13;movie;['фантастика', 'боевик', 'приключения', 'военный'];['США', 'Канада'];100206256;5.0;178000000.0;31027057.164516967;3963289.857700591;2542655.150179751;['Cinesite', 'Moving Picture Company, The', 'Plowman Craven & Associates', 'Rodeo FX', 'Sony Pictures Imageworks', 'Third Floor, The'];['Village Roadshow Pictures', 'Warner Bros. Pictures']
819101;Омерзительная восьмерка;2015;513074.0;626274.0;337.0;29848.0;7.967;7.8;7.3;168.0;18.0;r;movie;['вестерн', 'криминал', 'триллер', 'драма', 'детектив'];['США'];54117416;2.0;44000000.0;35095226.44437036;18030659.79867799;18262945.4996297;['Industrial Light & Magic (ILM)', 'Method Studios'];['AMT']
8408;Гарри Поттер и Кубок огня;2005;509399.0;649477.0;255.0;3.0;7.946;7.7;7.4;157.0;16.0;pg13;movie;['фэнтези', 'приключения', 'семейный'];['Великобритания', 'США'];290013036;5.0;150000000.0;18210957.666585542;4679984.800105501;492742.9465184008;['Cinesite', 'Double Negative', 'Gentle Giant Studios Inc.', 'Industrial Light & Magic (ILM)', 'Plowman Craven & Associates'];['Warner Bros. Pictures']
39577;Брюс Всемогущий;2003;509157.0;417300.0;191.0;;7.747;6.8;5.7;97.0;12.0;pg13;movie;['фэнтези', 'комедия', 'драма'];['США'];242829261;1.0;81000000.0;8575050.293521106;384537.5010154413;616719.2191116471;['Digiscope'];['Universal Pictures']
822709;Тор: Рагнарёк;2017;508818.0;780101.0;441.0;72479.0;7.716;7.9;7.6;130.0;16.0;pg13;movie;['фантастика', 'фэнтези', 'боевик', 'комедия', 'приключения'];['США', 'Австралия'];315058289;2.0;180000000.0;108784800.25949831;17855416.346683525;1359424.1981895417;['Digital Domain', 'Double Negative', 'Industrial Light & Magic (ILM)', 'Method Studios', 'Rodeo FX', 'Third Floor, The'];[]
841263;Стражи Галактики. Часть 2;2017;507654.0;720698.0;426.0;78235.0;7.769;7.6;7.3;136.0;16.0;pg13;movie;['фантастика', 'боевик', 'приключения', 'комедия'];['США'];389813101;2.0;200000000.0;90530072.9158401;9730801.571233587;6387655.711184489;['Lola Visual Effects', 'Method Studios', 'Third Floor, The'];[]
3793;Константин: Повелитель тьмы;2005;500120.0;359609.0;228.0;;7.853;7.0;5.5;121.0;16.0;r;movie;['фэнтези', 'ужасы', 'боевик', 'детектив'];['США', 'Германия'];75976178;2.0;100000000.0;10471896.480350409;2919.5215116680265;;['Gentle Giant Studios Inc.', 'Proof'];['Village Roadshow Pictures', 'Warner Bros. Pictures']
468522;Отряд самоубийц;2016;492591.0;701250.0;391.0;98067.0;6.093;5.9;4.8;118.0;18.0;pg13;movie;['фантастика', 'боевик', 'фэнтези', 'приключения'];['США'];325100054;6.0;175000000.0;43029095.18384928;6278539.040352716;3925705.0382974152;['Digital Domain', 'Moving Picture Company, The', 'Sony Pictures Imageworks'];['Warner Bros. Pictures']
961715;Дэдпул 2;2018;491847.0;619946.0;422.0;46602.0;7.438;7.6;7.1;119.0;18.0;r;movie;['фантастика', 'боевик', 'комедия', 'приключения'];['США', 'Канада'];318491426;4.0;110000000.0;53081511.81044743;14994102.028513188;2724497.4997871574;['Double Negative', 'Method Studios'];['20th Century Fox Film Corporation', 'AMT']
5167;Эффект бабочки;2003;489659.0;503348.0;172.0;3.0;8.169;7.6;4.8;113.0;16.0;r;movie;['фантастика', 'триллер', 'драма'];['США', 'Канада'];57938693;2.0;13000000.0;620967.8272877135;;;[];[]
458;Корпорация монстров;2001;488199.0;936071.0;200.0;;8.127;8.1;8.1;92.0;0.0;g;cartoon;['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный'];['США', 'Япония'];255873250;5.0;115000000.0;4782823.2287693005;66763.48959638223;213040.715745522;[];[]
517988;Время;2011;486915.0;424992.0;175.0;30448.0;7.275;6.7;5.3;109.0;12.0;pg13;movie;['фантастика', 'мелодрама', 'боевик'];['США'];37520095;3.0;40000000.0;13477722.633916946;2601418.8911359785;952660.1844372968;[];['AMT']
437410;Темный рыцарь: Возрождение легенды;2012;485942.0;1748433.0;375.0;91648.0;8.164;8.4;8.0;165.0;16.0;pg13;movie;['фантастика', 'боевик', 'триллер', 'драма', 'криминал'];['США', 'Великобритания'];448139099;6.0;250000000.0;91008798.35815229;46126824.38782428;25483465.50391256;['Double Negative'];['Warner Bros. Pictures']
48356;Гарри Поттер и Орден Феникса;2007;479346.0;603556.0;256.0;;7.827;7.5;6.9;138.0;12.0;pg13;movie;['фэнтези', 'приключения', 'семейный'];['Великобритания', 'США'];292004738;3.0;150000000.0;24780167.3072438;2153099.061985376;;['Cinesite', 'Double Negative', 'Industrial Light & Magic (ILM)', 'Plowman Craven & Associates'];['Warner Bros. Pictures']
568289;Богемская рапсодия;2018;478929.0;569351.0;420.0;19162.0;8.012;7.9;6.1;134.0;18.0;pg13;movie;['биография', 'музыка', 'драма'];['Великобритания', 'США'];216428042;3.0;52000000.0;13713147.33564225;7215076.24215365;;['Double Negative'];['AMT']
749540;Kingsman: Секретная служба;2015;478887.0;689397.0;265.0;19366.0;7.676;7.7;6.8;130.0;18.0;r;movie;['боевик', 'комедия', 'криминал', 'приключения'];['Великобритания', 'США'];128261724;5.0;81000000.0;56445290.30758097;10156025.822974598;5169102.014495515;['Cinesite', 'Plowman Craven & Associates', 'Proof'];['20th Century Fox Film Corporation', 'AMT']
530;Игры разума;2001;478668.0;953017.0;213.0;4.0;8.546;8.2;7.2;135.0;12.0;pg13;movie;['драма', 'биография', 'мелодрама'];['США'];170742341;3.0;58000000.0;7698166.001274817;477582.6260635177;744665.3554171072;['Digital Domain'];['Universal Pictures']
38905;Чарли и шоколадная фабрика;2005;478167.0;498616.0;228.0;;7.616;6.7;7.2;115.0;6.0;pg;movie;['мюзикл', 'фэнтези', 'комедия', 'приключения', 'семейный'];['США'];206459076;1.0;150000000.0;10336971.677645173;993563.2955759512;2211903.40463;['Asylum VFX', 'Cinesite', 'Digital Domain', 'Moving Picture Company, The', 'Proof'];['Village Roadshow Pictures', 'Warner Bros. Pictures']
683999;Отель «Гранд Будапешт»;2014;476690.0;843014.0;318.0;18225.0;7.934;8.1;8.5;100.0;16.0;r;movie;['комедия', 'приключения', 'детектив', 'криминал'];['США', 'Германия'];59301324;2.0;30590000.0;45315565.55974805;3588796.2669418897;3613921.219696141;[];['AMT']
276598;Драйв;2011;476554.0;683659.0;277.0;7320.0;7.262;7.8;8.3;100.0;18.0;r;movie;['криминал', 'драма', 'триллер'];['США'];35061555;4.0;15000000.0;10745068.476136426;;563030.9644494216;['Lidar Services Inc.'];[]
